Id,Victimas,Año,Tipo_calle,Direccion_Normalizada,Victima,Acusado
360,3,2023,SD,AU 25 DE MAYO,SD,SD
361,1,2023,SD,AU DELLEPIANE,SD,SD
362,2,2023,SD,AU 25 DE MAYO,SD,SD
363,2,2023,SD,AU 25 DE MAYO,SD,SD
364,2,2023,SD,AU DELLEPIANE,SD,SD
365,3,2023,SD,AU ILLIA,SD,SD
366,2,2023,SD,AU FRONDIZI,SD,SD
367,1,2023,SD,AU 25 DE MAYO,SD,SD
368,2,2023,SD,AU PERITO MORENO,SD,SD
369,2,2023,SD,AU 25 DE MAYO,SD,SD
370,1,2023,SD,AU PERITO MORENO,SD,SD
371,2,2023,SD,AU ILLIA,SD,SD
372,3,2023,SD,AU FRONDIZI,SD,SD
373,2,2023,SD,AU DELLEPIANE,SD,SD
374,2,2023,SD,TRANSICION RAMAL 2,SD,SD
375,2,2023,SD,AV. CANTILO,SD,SD
376,2,2023,SD,AU 25 DE MAYO,SD,SD
377,2,2023,SD,AU DELLEPIANE,SD,SD
378,2,2023,SD,TRANSICION RAMAL 3,SD,SD
379,1,2023,SD,AU DELLEPIANE,SD,SD
380,1,2023,SD,AV. LUGONES,SD,SD
381,1,2023,SD,AU ILLIA,SD,SD
382,3,2023,SD,AU DELLEPIANE,SD,SD
383,2,2023,SD,AU 25 DE MAYO,SD,SD
384,2,2023,SD,AU 25 DE MAYO,SD,SD
385,3,2023,SD,AV. LUGONES,SD,SD
386,3,2023,SD,AU PERITO MORENO,SD,SD
387,2,2023,SD,AU PERITO MORENO,SD,SD
388,1,2023,SD,AU 25 DE MAYO,SD,SD
389,1,2023,SD,AV. LUGONES,SD,SD
390,2,2023,SD,AU PERITO MORENO,SD,SD
391,3,2023,SD,AV. LUGONES,SD,SD
392,2,2023,SD,AV. LUGONES,SD,SD
393,2,2023,SD,AU 25 DE MAYO,SD,SD
394,1,2023,SD,AV. LUGONES,SD,SD
395,4,2023,SD,PASEO DEL BAJO,SD,SD
396,2,2023,SD,AU PERITO MORENO,SD,SD
397,1,2023,SD,AU 25 DE MAYO,SD,SD
398,1,2023,SD,AU PERITO MORENO,SD,SD
399,2,2023,SD,AU 25 DE MAYO,SD,SD
400,2,2023,SD,AU DELLEPIANE,SD,SD
401,3,2023,SD,AV. LUGONES,SD,SD
402,4,2023,SD,AU PERITO MORENO,SD,SD
403,3,2023,SD,AU 25 DE MAYO,SD,SD
404,2,2023,SD,AU PERITO MORENO,SD,SD
405,1,2023,SD,AU 25 DE MAYO,SD,SD
406,2,2023,SD,AU DELLEPIANE,SD,SD
407,2,2023,SD,AV. LUGONES,SD,SD
408,2,2023,SD,AU DELLEPIANE,SD,SD
409,1,2023,SD,AU ILLIA,SD,SD
410,2,2023,SD,AU PERITO MORENO,SD,SD
411,1,2023,SD,AU ILLIA,SD,SD
412,2,2023,SD,AU DELLEPIANE,SD,SD
413,2,2023,SD,AV. LUGONES,SD,SD
414,1,2023,SD,AU 25 DE MAYO,SD,SD
415,2,2023,SD,AU FRONDIZI,SD,SD
416,3,2023,SD,AU 25 DE MAYO,SD,SD
417,3,2023,SD,AU 25 DE MAYO,SD,SD
418,2,2023,SD,AU 25 DE MAYO,SD,SD
419,2,2023,SD,AU ILLIA,SD,SD
420,1,2023,SD,AV. LUGONES,SD,SD
421,2,2023,SD,AU DELLEPIANE,SD,SD
422,1,2023,SD,AU PERITO MORENO,SD,SD
423,1,2023,SD,AU DELLEPIANE,SD,SD
424,2,2023,SD,AU 25 DE MAYO,SD,SD
425,2,2023,SD,AU DELLEPIANE,SD,SD
426,2,2023,SD,AU PERITO MORENO,SD,SD
427,4,2023,SD,AU 25 DE MAYO,SD,SD
428,2,2023,SD,AU 25 DE MAYO,SD,SD
429,1,2023,SD,AU 25 DE MAYO,SD,SD
430,3,2023,SD,PASEO DEL BAJO,SD,SD
431,1,2023,SD,AU CAMPORA,SD,SD
432,1,2023,SD,AU FRONDIZI,SD,SD
433,2,2023,SD,AU DELLEPIANE,SD,SD
434,3,2023,SD,AU DELLEPIANE,SD,SD
435,2,2023,SD,AU 25 DE MAYO,SD,SD
436,1,2023,SD,AV. CANTILO,SD,SD
437,2,2023,SD,AU 25 DE MAYO,SD,SD
438,2,2023,SD,AU 25 DE MAYO,SD,SD
439,1,2023,SD,DIST. 9 DE JULIO,SD,SD
440,2,2023,SD,AU 25 DE MAYO,SD,SD
441,1,2023,SD,AU PERITO MORENO,SD,SD
442,1,2023,SD,AU PERITO MORENO,SD,SD
443,4,2023,SD,AU FRONDIZI,SD,SD
444,1,2023,SD,AU 25 DE MAYO,SD,SD
445,2,2023,SD,AV. CANTILO,SD,SD
446,3,2023,SD,AV. LUGONES,SD,SD
447,1,2023,SD,AU 25 DE MAYO,SD,SD
448,2,2023,SD,AV. CANTILO,SD,SD
449,1,2023,SD,AV. CANTILO,SD,SD
450,2,2023,SD,AU 25 DE MAYO,SD,SD
451,3,2023,SD,AV. LUGONES,SD,SD
452,2,2023,SD,AU DELLEPIANE,SD,SD
453,4,2023,SD,AU DELLEPIANE,SD,SD
454,2,2023,SD,AU 25 DE MAYO,SD,SD
455,2,2023,SD,AU ILLIA,SD,SD
456,2,2023,SD,AV. CANTILO,SD,SD
457,1,2023,SD,AU PERITO MORENO,SD,SD
458,2,2023,SD,AU DELLEPIANE,SD,SD
459,5,2023,SD,AU DELLEPIANE,SD,SD
460,2,2023,SD,AV. CANTILO,SD,SD
461,3,2023,SD,AU DELLEPIANE,SD,SD
462,1,2023,SD,AU 25 DE MAYO,SD,SD
463,2,2023,SD,AU 25 DE MAYO,SD,SD
464,1,2023,SD,AU DELLEPIANE,SD,SD
465,1,2023,SD,AU PERITO MORENO,SD,SD
466,2,2023,SD,AU FRONDIZI,SD,SD
467,2,2023,SD,AU 25 DE MAYO,SD,SD
468,2,2023,SD,AU 25 DE MAYO,SD,SD
469,2,2023,SD,AU DELLEPIANE,SD,SD
470,3,2023,SD,AV. CANTILO,SD,SD
471,1,2023,SD,AV. LUGONES,SD,SD
472,3,2023,SD,AV. CANTILO,SD,SD
473,3,2023,SD,AU FRONDIZI,SD,SD
474,1,2023,SD,AU 25 DE MAYO,SD,SD
475,2,2023,SD,AU 25 DE MAYO,SD,SD
476,2,2023,SD,AU DELLEPIANE,SD,SD
477,2,2023,SD,AU FRONDIZI,SD,SD
478,1,2023,SD,AU PERITO MORENO,SD,SD
479,2,2023,SD,AU 25 DE MAYO,SD,SD
480,4,2023,SD,AU 25 DE MAYO,SD,SD
481,1,2023,SD,AV. CANTILO,SD,SD
482,2,2023,SD,AU FRONDIZI,SD,SD
483,2,2023,SD,TRANSICION RAMAL 1,SD,SD
484,2,2023,SD,AU PERITO MORENO,SD,SD
485,2,2023,SD,AU 25 DE MAYO,SD,SD
486,2,2023,SD,AU ILLIA,SD,SD
487,2,2023,SD,AU PERITO MORENO,SD,SD
488,1,2023,SD,AV. LUGONES,SD,SD
489,2,2023,SD,AU 25 DE MAYO,SD,SD
490,3,2023,SD,AU 25 DE MAYO,SD,SD
491,3,2023,SD,AU PERITO MORENO,SD,SD
492,2,2023,SD,AU 25 DE MAYO,SD,SD
493,1,2023,SD,DIST. DELLEPIANE,SD,SD
494,2,2023,SD,AV. LUGONES,SD,SD
495,2,2023,SD,AU FRONDIZI,SD,SD
496,1,2023,SD,TRANSICION RAMAL 4,SD,SD
497,1,2023,SD,AU PERITO MORENO,SD,SD
498,1,2023,SD,AU FRONDIZI,SD,SD
499,2,2023,SD,AU 25 DE MAYO,SD,SD
500,1,2023,SD,AV. LUGONES,SD,SD
501,1,2023,SD,AU 25 DE MAYO,SD,SD
502,2,2023,SD,AU FRONDIZI,SD,SD
503,4,2023,SD,AU 25 DE MAYO,SD,SD
